U+00A1;¡;Inverted exclamation mark
U+1E0E;Ḏ;Latin Capital Letter D with line below
U+1E0F;ḏ;Latin Small Letter D with line below
U+1E10;Ḑ;Latin Capital Letter D with cedilla
U+1E11;ḑ;Latin Small Letter D with cedilla
U+1E12;Ḓ;Latin Capital Letter D with circumflex below
U+1E13;ḓ;Latin Small Letter D with circumflex below
U+1E14;Ḕ;Latin Capital Letter E with macron and grave
U+1E15;ḕ;Latin Small Letter E with macron and grave
U+1E16;Ḗ;Latin Capital Letter E with macron and acute
U+1E17;ḗ;Latin Small Letter E with macron and acute
U+1E18;Ḙ;Latin Capital Letter E with circumflex below
U+1E19;ḙ;Latin Small Letter E with circumflex below
U+1E1A;Ḛ;Latin Capital Letter E with tilde below
U+1E1B;ḛ;Latin Small Letter E with tilde below
U+1E1C;Ḝ;Latin Capital Letter E with cedilla and breve
U+1E1D;ḝ;Latin Small Letter E with cedilla and breve
U+1E1E;Ḟ;Latin Capital Letter F with dot above
U+1E1F;ḟ;Latin Small Letter F with dot above
U+1E20;Ḡ;Latin Capital Letter G with macron
U+1E21;ḡ;Latin Small Letter G with macron
U+1E22;Ḣ;Latin Capital Letter H with dot above
U+1E23;ḣ;Latin Small Letter H with dot above
U+1E24;Ḥ;Latin Capital Letter H with dot below
U+1E25;ḥ;Latin Small Letter H with dot below
U+1E26;Ḧ;Latin Capital Letter H with diaeresis
U+1E27;ḧ;Latin Small Letter H with diaeresis
U+1E28;Ḩ;Latin Capital Letter H with cedilla
U+1E29;ḩ;Latin Small Letter H with cedilla
U+1E2A;Ḫ;Latin Capital Letter H with breve below
U+1E2B;ḫ;Latin Small Letter H with breve below
U+1E2C;Ḭ;Latin Capital Letter I with tilde below
U+1E2D;ḭ;Latin Small Letter I with tilde below
U+1E2E;Ḯ;Latin Capital Letter I with diaeresis and acute
U+1E2F;ḯ;Latin Small Letter I with diaeresis and acute
U+1E30;Ḱ;Latin Capital Letter K with acute
U+1E31;ḱ;Latin Small Letter K with acute
U+1E32;Ḳ;Latin Capital Letter K with dot below
U+1E33;ḳ;Latin Small Letter K with dot below
U+1E34;Ḵ;Latin Capital Letter K with line below
U+1E35;ḵ;Latin Small Letter K with line below
U+1E36;Ḷ;Latin Capital Letter L with dot below
U+1E37;ḷ;Latin Small Letter L with dot below
U+1E38;Ḹ;Latin Capital Letter L with dot below and macron
U+1E39;ḹ;Latin Small Letter L with dot below and macron
U+1E3A;Ḻ;Latin Capital Letter L with line below
U+1E3B;ḻ;Latin Small Letter L with line below
U+1E3C;Ḽ;Latin Capital Letter L with circumflex below
U+1E3D;ḽ;Latin Small Letter L with circumflex below
U+1E3E;Ḿ;Latin Capital Letter M with acute
U+1E3F;ḿ;Latin Small Letter M with acute
U+1E40;Ṁ;Latin Capital Letter M with dot above
U+1E41;ṁ;Latin Small Letter M with dot above
U+1E42;Ṃ;Latin Capital Letter M with dot below
U+1E43;ṃ;Latin Small Letter M with dot below
U+1E44;Ṅ;Latin Capital Letter N with dot above
U+1E45;ṅ;Latin Small Letter N with dot above
U+1E46;Ṇ;Latin Capital Letter N with dot below
U+1E47;ṇ;Latin Small Letter N with dot below
U+1E48;Ṉ;Latin Capital Letter N with line below
U+1E49;ṉ;Latin Small Letter N with line below
U+1E4A;Ṋ;Latin Capital Letter N with circumflex below
U+1E4B;ṋ;Latin Small Letter N with circumflex below
U+1E4C;Ṍ;Latin Capital Letter O with tilde and acute
U+1E4D;ṍ;Latin Small Letter O with tilde and acute
U+1E4E;Ṏ;Latin Capital Letter O with tilde and diaeresis
U+1E4F;ṏ;Latin Small Letter O with tilde and diaeresis
U+1E50;Ṑ;Latin Capital Letter O with macron and grave
U+1E51;ṑ;Latin Small Letter O with macron and grave
U+1E52;Ṓ;Latin Capital Letter O with macron and acute
U+1E53;ṓ;Latin Small Letter O with macron and acute
U+1E54;Ṕ;Latin Capital Letter P with acute
U+1E55;ṕ;Latin Small Letter P with acute
U+1E56;Ṗ;Latin Capital Letter P with dot above
U+1E57;ṗ;Latin Small Letter P with dot above
U+1E58;Ṙ;Latin Capital Letter R with dot above
U+1E59;ṙ;Latin Small Letter R with dot above
U+1E5A;Ṛ;Latin Capital Letter R with dot below
U+1E5B;ṛ;Latin Small Letter R with dot below
U+1E5C;Ṝ;Latin Capital Letter R with dot below and macron
U+1E5D;ṝ;Latin Small Letter R with dot below and macron
U+1E5E;Ṟ;Latin Capital Letter R with line below
U+1E5F;ṟ;Latin Small Letter R with line below
U+1E60;Ṡ;Latin Capital Letter S with dot above
U+1E61;ṡ;Latin Small Letter S with dot above
U+1E62;Ṣ;Latin Capital Letter S with dot below
U+1E63;ṣ;Latin Small Letter S with dot below
U+1E64;Ṥ;Latin Capital Letter S with acute and dot above
U+1E65;ṥ;Latin Small Letter S with acute and dot above
U+1E66;Ṧ;Latin Capital Letter S with caron and dot above
U+1E67;ṧ;Latin Small Letter S with caron and dot above
U+1E68;Ṩ;Latin Capital Letter S with dot below and dot above
U+1E69;ṩ;Latin Small Letter S with dot below and dot above
U+1E6A;Ṫ;Latin Capital Letter T with dot above
U+1E6B;ṫ;Latin Small Letter T with dot above
U+1E6C;Ṭ;Latin Capital Letter T with dot below
U+1E6D;ṭ;Latin Small Letter T with dot below
U+1E6E;Ṯ;Latin Capital Letter T with line below
U+1E6F;ṯ;Latin Small Letter T with line below
U+1E70;Ṱ;Latin Capital Letter T with circumflex below
U+1E71;ṱ;Latin Small Letter T with circumflex below
U+1E72;Ṳ;Latin Capital Letter U with diaeresis below
U+1E73;ṳ;Latin Small Letter U with diaeresis below
U+1E74;Ṵ;Latin Capital Letter U with tilde below
U+1E75;ṵ;Latin Small Letter U with tilde below
U+1E76;Ṷ;Latin Capital Letter U with circumflex below
U+1E77;ṷ;Latin Small Letter U with circumflex below
U+1E78;Ṹ;Latin Capital Letter U with tilde and acute
U+1E79;ṹ;Latin Small Letter U with tilde and acute
U+1E7A;Ṻ;Latin Capital Letter U with macron and diaeresis
U+1E7B;ṻ;Latin Small Letter U with macron and diaeresis
U+1E7C;Ṽ;Latin Capital Letter V with tilde
U+1E7D;ṽ;Latin Small Letter V with tilde
U+1E7E;Ṿ;Latin Capital Letter V with dot below
U+1E7F;ṿ;Latin Small Letter V with dot below
U+1E80;Ẁ;Latin Capital Letter W with grave
U+1E81;ẁ;Latin Small Letter W with grave
U+1E82;Ẃ;Latin Capital Letter W with acute
U+1E83;ẃ;Latin Small Letter W with acute
U+1E84;Ẅ;Latin Capital Letter W with diaeresis
U+1E85;ẅ;Latin Small Letter W with diaeresis
U+1E86;Ẇ;Latin Capital Letter W with dot above
U+1E87;ẇ;Latin Small Letter W with dot above
U+1E88;Ẉ;Latin Capital Letter W with dot below
U+1E89;ẉ;Latin Small Letter W with dot below
U+1E8A;Ẋ;Latin Capital Letter X with dot above
U+1E8B;ẋ;Latin Small Letter X with dot above
U+1E8C;Ẍ;Latin Capital Letter X with diaeresis
U+1E8D;ẍ;Latin Small Letter X with diaeresis
U+1E8E;Ẏ;Latin Capital Letter Y with dot above
U+1E8F;ẏ;Latin Small Letter Y with dot above
U+1E90;Ẑ;Latin Capital Letter Z with circumflex
U+1E91;ẑ;Latin Small Letter Z with circumflex
U+1E92;Ẓ;Latin Capital Letter Z with dot below
U+1E93;ẓ;Latin Small Letter Z with dot below
U+1E94;Ẕ;Latin Capital Letter Z with line below
U+1E95;ẕ;Latin Small Letter Z with line below
U+1E96;ẖ;Latin Small Letter H with line below
U+1E97;ẗ;Latin Small Letter T with diaeresis
U+1E98;ẘ;Latin Small Letter W with ring above
U+1E99;ẙ;Latin Small Letter Y with ring above
U+1E9A;ẚ;Latin Small Letter A with right half ring
U+1E9B;ẛ;Latin Small Letter Long S with dot above
U+1E9C;ẜ;Latin Small Letter Long S with diagonal stroke
U+1E9D;ẝ;Latin Small Letter Long S with high stroke
U+1E9E;ẞ;Latin Capital Letter Sharp S
U+1E9F;ẟ;Latin Small Letter Delta
U+1EA0;Ạ;Latin Capital Letter A with dot below
U+1EA1;ạ;Latin Small Letter A with dot below
U+1EA2;Ả;Latin Capital Letter A with hook above
U+1EA3;ả;Latin Small Letter A with hook above
U+1EA4;Ấ;Latin Capital Letter A with circumflex and acute
U+1EA5;ấ;Latin Small Letter A with circumflex and acute
U+1EA6;Ầ;Latin Capital Letter A with circumflex and grave
U+1EA7;ầ;Latin Small Letter A with circumflex and grave
U+1EA8;Ẩ;Latin Capital Letter A with circumflex and hook above
U+1EA9;ẩ;Latin Small Letter A with circumflex and hook above
U+1EAA;Ẫ;Latin Capital Letter A with circumflex and tilde
U+1EAB;ẫ;Latin Small Letter A with circumflex and tilde
U+1EAC;Ậ;Latin Capital Letter A with circumflex and dot below
U+1EAD;ậ;Latin Small Letter A with circumflex and dot below
U+1EAE;Ắ;Latin Capital Letter A with breve and acute
U+1EAF;ắ;Latin Small Letter A with breve and acute
U+1EB0;Ằ;Latin Capital Letter A with breve and grave
U+1EB1;ằ;Latin Small Letter A with breve and grave
U+1EB2;Ẳ;Latin Capital Letter A with breve and hook above
U+1EB3;ẳ;Latin Small Letter A with breve and hook above
U+1EB4;Ẵ;Latin Capital Letter A with breve and tilde
U+1EB5;ẵ;Latin Small Letter A with breve and tilde
U+1EB6;Ặ;Latin Capital Letter A with breve and dot below
U+1EB7;ặ;Latin Small Letter A with breve and dot below
U+1EB8;Ẹ;Latin Capital Letter E with dot below
U+1EB9;ẹ;Latin Small Letter E with dot below
U+1EBA;Ẻ;Latin Capital Letter E with hook above
U+1EBB;ẻ;Latin Small Letter E with hook above
U+1EBC;Ẽ;Latin Capital Letter E with tilde
U+1EBD;ẽ;Latin Small Letter E with tilde
U+1EBE;Ế;Latin Capital Letter E with circumflex and acute
U+1EBF;ế;Latin Small Letter E with circumflex and acute
U+1EC0;Ề;Latin Capital Letter E with circumflex and grave
U+1EC1;ề;Latin Small Letter E with circumflex and grave
U+1EC2;Ể;Latin Capital Letter E with circumflex and hook above
U+1EC3;ể;Latin Small Letter E with circumflex and hook above
U+1EC4;Ễ;Latin Capital Letter E with circumflex and tilde
U+1EC5;ễ;Latin Small Letter E with circumflex and tilde
U+1EC6;Ệ;Latin Capital Letter E with circumflex and dot below
U+1EC7;ệ;Latin Small Letter E with circumflex and dot below
U+1EC8;Ỉ;Latin Capital Letter I with hook above
U+1EC9;ỉ;Latin Small Letter I with hook above
U+1ECA;Ị;Latin Capital Letter I with dot below
U+1ECB;ị;Latin Small Letter I with dot below
U+1ECC;Ọ;Latin Capital Letter O with dot below
U+1ECD;ọ;Latin Small Letter O with dot below
U+1ECE;Ỏ;Latin Capital Letter O with hook above
U+1ECF;ỏ;Latin Small Letter O with hook above
U+1ED0;Ố;Latin Capital Letter O with circumflex and acute
U+1ED1;ố;Latin Small Letter O with circumflex and acute
U+1ED2;Ồ;Latin Capital Letter O with circumflex and grave
U+1ED3;ồ;Latin Small Letter O with circumflex and grave
U+1ED4;Ổ;Latin Capital Letter O with circumflex and hook above
U+1ED5;ổ;Latin Small Letter O with circumflex and hook above
U+1ED6;Ỗ;Latin Capital Letter O with circumflex and tilde
U+1ED7;ỗ;Latin Small Letter O with circumflex and tilde
U+1ED8;Ộ;Latin Capital Letter O with circumflex and dot below
U+1ED9;ộ;Latin Small Letter O with circumflex and dot below
U+1EDA;Ớ;Latin Capital Letter O with horn and acute
U+1EDB;ớ;Latin Small Letter O with horn and acute
U+1EDC;Ờ;Latin Capital Letter O with horn and grave
U+1EDD;ờ;Latin Small Letter O with horn and grave
U+1EDE;Ở;Latin Capital Letter O with horn and hook above
U+1EDF;ở;Latin Small Letter O with horn and hook above
U+1EE0;Ỡ;Latin Capital Letter O with horn and tilde
U+1EE1;ỡ;Latin Small Letter O with horn and tilde
U+1EE2;Ợ;Latin Capital Letter O with horn and dot below
U+1EE3;ợ;Latin Small Letter O with horn and dot below
U+1EE4;Ụ;Latin Capital Letter U with dot below
U+1EE5;ụ;Latin Small Letter U with dot below
U+1EE6;Ủ;Latin Capital Letter U with hook above
U+1EE7;ủ;Latin Small Letter U with hook above
U+1EE8;Ứ;Latin Capital Letter U with horn and acute
U+1EE9;ứ;Latin Small Letter U with horn and acute
U+1EEA;Ừ;Latin Capital Letter U with horn and grave
U+1EEB;ừ;Latin Small Letter U with horn and grave
U+1EEC;Ử;Latin Capital Letter U with horn and hook above
U+1EED;ử;Latin Small Letter U with horn and hook above
U+1EEE;Ữ;Latin Capital Letter U with horn and tilde
U+1EEF;ữ;Latin Small Letter U with horn and tilde
U+1EF0;Ự;Latin Capital Letter U with horn and dot below
U+1EF1;ự;Latin Small Letter U with horn and dot below
U+1EF2;Ỳ;Latin Capital Letter Y with grave
U+1EF3;ỳ;Latin Small Letter Y with grave
U+1EF4;Ỵ;Latin Capital Letter Y with dot below
U+1EF5;ỵ;Latin Small Letter Y with dot below
U+1EF6;Ỷ;Latin Capital Letter Y with hook above
U+1EF7;ỷ;Latin Small Letter Y with hook above
U+1EF8;Ỹ;Latin Capital Letter Y with tilde
U+1EF9;ỹ;Latin Small Letter Y with tilde
U+1EFA;Ỻ;Latin Capital Letter Middle-Welsh LL
U+1EFB;ỻ;Latin Small Letter Middle-Welsh LL
U+1EFC;Ỽ;Latin Capital Letter Middle-Welsh V
U+1EFD;ỽ;Latin Small Letter Middle-Welsh V
U+1EFE;Ỿ;Latin Capital Letter Y with loop
U+1EFF;ỿ;Latin Small Letter Y with loop
